isbn,title,author,publisher,pub_place,pub_year,extent,dimensions,subject,inclusion_date,source,library,notes
,kìevi,"Szewczenko, Taras (1814-1861)",,,1844,1 martyca graf.,"22,5x30,7 cm.",,,,,Sygn. i data na kompoz.
,death stalkes the streets,"Mrożewski, Stefan (1894-1975)",,,[1955],1 matryca graficzna,"21,5x16x2,3 cm (z drutem 22,3x16,7x2,3).",Getto warszawskie,,,,"Sygn. pod kompoz. monogramem wiązanym z herbem Prus. Tyt. nadany przez katalogującego. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,die verlorene ewigkeit,"Starowieyski, Franciszek (1930-2009)",,,[1987],1 obraz,285x400 cm.,Ciało ludzkie,,,,"Sygn. pod kompoz. Jakubowski T., BIBN 2003, nr 2/165 Starowieyski F., Starowieyski : rok 1699, Kraków 1999"
,zasadzka,"Mikulski, Kazimierz (1918-1998)",,,[1964],1 obraz,53x40 cm.,,,,,"Nie sygn. Nazwa aut.: Kazimierz Mikulski. Tyt. nadany przez aut. Kazimierz Mikulski, aut. tekstów A. Żakiewicz, U. Czartoryska, Warszawa 2004 Kazimierz Mikulski, malarstwo, red. I. Jabłońska, J. Windorbskia, Warszawa 2000"
,bez tytułu,"Mikulski, Kazimierz (1918-1998)",,,[ante 1945],1 obraz,"37,5x27 cm.",,,,,"Nie sygn. Nazwa aut.: Kazimierz Mikulski. Tyt. nadany przez aut. Kazimierz Mikulski, aut. tekstów A. Żakiewicz, U. Czartoryska, Warszawa 2004"
,odznaka dowództwa wojska polskiego wschodzie,,,,1919,1 odznaka,"3,3x3,3x1,2 cm.",Korpusy Polskie w Rosji,,,,"Na ramionach krzyża napisy, u góry: ""DOW"", z lewej: ""W.P."", z prawej: ""WSCH"", a pod spodem: ""1918 / 1919"". Tyt. nadany przez katalogującego."
,nieśmiertelnik,,,,[1939-1945],1 plakieta," plakieta 6x4 cm, oprawa 6,2x4,5 cm, sznurek dł. 24 cm.",Obozy jenieckie,,,,"Tyt. nadany przez katalogującego. Wygrawerowane dwukrotnie: ""Stalag 318 VIII F 101469""."
,"prof. kazimierz jasiński, virescet longæve","Mirowski, Ryszard (1943- )",,,[1990],1 medal,"śr. 9,8 cm, gr. 0,4 cm.",Drzewo Jessego,,,,"Na rew.: ""W 70-lecie urodzin przyjaciele i uczniowie"". Nie sygn. Nazwa aut.: Ryszard Mirowski. Tyt. wg awersu."
,papierośnica,,,,[1921],1 papierośnica,"9,5x7,5x0,8 cm.",Papierośnice,,,,"Tyt. nadany przez katalogującego. Wew. wygrawerowany napis po lewej: ""Rudolfowi Zbrojewskiemu"", po prawej: ""Kochanemu Sekretarzowi <<Komitet Sylwestrowy>> Związku Artystów Scen Polskich Lwów, dnia 31/XII 1921"""
,album fotografie,,,,[ca 1980],1 album (18 k.),"22,7x30,8x2,3 cm.",Ratusz w Poznaniu,,,,"Na awersie k. 6 ozn.: ""1984"", na awersie k. 10 ozn.: "" MEKSYK 1985/1986"". Na okł. ratusz w Poznaniu. Tyt. nadany przez katalogującego."
,ramka fotografie kształcie sceny teatru obozowego kameleon,,,,[ante 1942],1 ramka,"14x24x4,5 cm.",,,,,"Ozn. u dołu: ""Kochanemu Zbyszkowi Zdzich 17.III 42. oflag II E"". Tyt. nadany przez katalogującego."
,album pocztówki,,,,[1932],1 album (32 k.),"34,3x19,5x3,8 cm.",,,,,"Dedykacja piórem na pierwszej k.: ""W dniu Imienin Kochanej Frańci ofiaruje Ela Przemyśl, dnia 26./XII.1932 r.-"". Tyt. nadany przez katalogującego. Wew. naklejka: ""Andrzej Wolanin Przemyśl magazyn papieru przyborów piśmiennych i dewocjonalji""."
,album pocztówki,,,,[1918-1939],1 album (50 k.),"27,2x20,5x5 cm.",,,,,"Napis na okładce: ""Cartes Postales"". Tyt. nadany przez katalogującego."
,pejzaż,"Grabski, Zdzisław (1905-1973)",,,[1972],1 relief,"59,8x39,5x0,9 cm.",,,,,Na rew. kompoz. przedstawiająca byka na polanie. Nie sygn. Nazwa aut.: Zdzisław Grabski. Tyt. nadany przez katalogującego.
,kompozycja motywem dłoni,"Grabski, Zdzisław (1905-1973)",,,[1972],1 relief,"69,5x36,4x0,6 cm obcięte naroża.",,,,,Nie sygn. Nazwa aut.: Zdzisław Grabski. Tyt. nadany przez katalogującego.
,stożek,"Grabski, Zdzisław (1905-1973)",,,[1972],1 relief,"48,2x30,4x0,7 cm.",,,,,Na rew. kompozycja abstrakcyjna. Nie sygn. Nazwa aut.: Zdzisław Grabski. Tyt. nadany przez katalogującego.
,kompozycja abstrakcyjna sugerująca pejzaż,"Grabski, Zdzisław (1905-1973)",,,[1972],1 relief,"32,5x62,2x0,6 cm.",,,,,Na rew. kompozycja abstrakcyjna. Nie sygn. Nazwa aut.: Zdzisław Grabski. Tyt. nadany przez katalogującego.
,kopia monety tymfa jana kazimierza wazy 1663 r.,,,,[2006],1 moneta,"średnica 2,7 ; pudełko 6,5x6,5x1,6 cm.",Monety polskie,,,,Tyt. nadany przez katalogującego.
,wałek drukarski,,,,[1951-1990],1 wałek,"20x13,5x7 cm.",Graficy polscy,,,,Tyt. nadany przez katalogującego.
,zestaw rylców drzeworytniczych konstantego marii sopoćki,,,,[1951-1990],"1 pojemnik, 18 rylców","pojemnik wys. 8 cm o śr. 6,2 cm, rylce dł. 9,3-12,4 cm, o uchwytach 2,4-3,6x1,9x2,5 cm lub o śr. 1,6x1,8 cm.",Graficy polscy,,,,"Część dłut ma wycięte na ostrzu liczby i ozn. producenta: ""A J Renard France"" lub ""G. Antoine Glardon made in Switzerland"" oraz znak ryby, inne znak bliźniąt (logo firmy Silingen). Na ostrzach niektórych rylców zachowała się guma. Pojemnik z nalepką z napisem ""N.B.Ś."", na podstawie napis ołówkiem: ""62 acs"" i wypalone ""Zakopane"". Rylce o imionach nadanych przez Konstantego Marię Sopoćko (napisanych flamastrem lub wyciętych na uchwytach): Alaryk, Artur, Daniel, Gedeon, Hex, Hieronim, K, K, Krzysztof, Łukasz, Piotr, Prot, PS, Rafał, Roger, Sebastian, dłuto ze znakiem prawosławnego krzyża i jedno dłuto bezimienne. Tyt. nadany przez katalogującego."
,ekslibris biblioteki narodowej,"Ostoja-Chrostowski, Stanisław (1900-1947)",,,[1935],1 matryca graficzna,"6,6x6,7x2,1 cm +",Godło państwowe,,,,Sygn. monogramem. Nazwa aut.: Stanisław Ostoja-Chrostowski. Tyt. nadany przez katalogującego.
