,isbn,title,author,publisher,pub_place,pub_year,extent,dimensions,subject,inclusion_date,source,library,notes
0,8871351460,matka teresa : miłość czynach,"Gjergji, Lush (1949- )",Wydawnictwo Velar,Gorle,cop. 2002,48 s.,20 cm.,,,,,Pierwsze wydanie w języku polskim. Wydano staraniem Pallotyńskiego Sekretariatu Misyjnego
1,9788325572280,sprawozdania deklaracje instytucjach kultury,,Wydawnictwo C. H. Beck,Warszawa,2015,"XIV, 399 stron.",24 cm.,Finanse publiczne,,,,
2,9785864715895,klin klinom,"Chmielewska, Joanna (1932-2013)",Fantom Press,Moskva,2011,"254, [2] s.",17 cm.,,,,,"Na s. tyt. pseud. aut., nazwa: Irena Kühn."
3,8386075651,wielka encyklopedia krzyżówkowicza : 40000 haseł,"Łochowska, Alicja","""Kram""",Warszawa,cop. 1995,"835, [1] s.",25 cm.,,,,,Bibliogr. s. [836].
4,8386075651,wielka encyklopedia krzyżówkowicza : 40000 haseł,"Łochowska, Alicja","""Kram""",Warszawa,cop. 1995,"835, [1] s.",25 cm.,,,,,Bibliogr. s. [836].
5,8385739025,"cultural policies : conference, cracow 28-29 september, 1992",,"""Secesja""",Kraków,1993,"102, [2] s.",21 cm.,,,,,
6,8385884009,wprowadzenie tajemnicy,"Fort, Charles (1874-1932)","""Pandora""",Łódź,1994,"210, [4] s.",20 cm.,Osobliwości,,,,
7,,"materiały vi vii tygodnia kultury chrześcijańskiej krakowie - 1985, 1986",,Kuria Metropolitalna : Wydaw. Św[iętego] Stanisława BM [Biskupa Męczennika] Archidiecezji Krakowskiej,Kraków,1988,"360 s., [32] s. tabl.",24 cm.,Kultura chrześcijańska,,,,Indeks. T. 1 poz. B254/87
8,,klasyfikacja zbiorów,"Drabek, Zofia",Wydaw. WOM,Kraków,[1994],26 s.,20 cm.,Uniwersalna Klasyfikacja Dziesiętna,,,,Nazwa aut. na okł. Bibliogr. s. 25. Poradnik metodyczny dla początkujących nauczycieli - bibliotekarzy.
9,8390125536,sennik domowy,"Hajnos, Mirosław P.","Lubuska Oficyna Wydawnicza ""LOW""",Zielona Góra,1994,"163, [1] s.",17 cm.,Przepowiednie,,,,
10,8385705155,"rozwód ? : rozwodzić, rozwodzić, rozwodzie",,Instytut Psychiatrii i Neurologii,Warszawa,1994,"130, [1] s.",21 cm.,Małżeństwo,,,,
11,8390198509,metody aktywizujące stosowane spotkaniach grupowych,"Wójcik, Elżbieta","Stowarzyszenie Współpracowników Salezjańskich. Biuro Inspektoralne : ""MAKOlab""",Łódź,1994,116 s.,21 cm.,Gry i zabawy umysłowe,,,,
12,8390005395,wielopoziomowość teorii uczuć,"Żechowski, Cezary (1965- )","SKW : ""Heliodor""",Warszawa ; Łomianki,1994,15 s.,20 cm.,Uczucia,,,,Bibliogr. s. 14. - Summ.
13,8385631151,milczenie liturgii,"Cebula, Antoni","""Signum""",Oleśnica,1993,48 s.,21 cm.,Liturgia katolicka,,,,
14,8390247208,moc modlitwy!,"Chacha, John N.","Fundacja ""Barnaba""",Gdynia,1993,87 s.,21 cm.,Modlitwa,,,,
15,8323307326,"wierzenia, religie, wspólnoty wyznaniowe średniowiecznej polsce litwie koegzystencja","Drabina, Jan (1939- )",nakł. UJ,Kraków,1994,192 s.,24 cm.,Religia,,,,Wskazówki bibliogr. s. 183-192. Dla studentów religioznawstwa.
16,8385380213,pamiętając mieszkańcach nieba : kult świętych dziejach liturgii,"Fros, Henryk (1922-1998)","""Biblos""",Tarnów,cop. 1994,204 s.,21 cm.,Kult świętych,,,,
17,8310098278,mity starożytnej grecji,"Graves, Robert (1895-1985)","""Nasza Księgarnia""",Warszawa,1994,"141, [3] s.",21 cm.,Mitologia grecka,,,,
18,8390129639,symbolika : zarys wiedzy kościołach wspólnotach chrześcijańskich,"Karski, Karol (1940- )",Chrześcijańska Akademia Teologiczna,Warszawa,1994,194 s.,23 cm.,Kościoły chrześcijańskie,,,,Bibliogr. s. 187-190. - Indeks.
19,8385482369,bóg : katechezy klasy drugiej szkoły podstawowej,"Mamińska, Elżbieta","""Palabra""",Warszawa,1994,[141] s.,21 cm.,,,,,
20,8385482350,bóg : katechezy klasy pierwszej szkoły podstawowej,"Mamińska, Elżbieta","""Palabra""",Warszawa,1994,[128] s.,21 cm.,,,,,
21,8385482377,bóg : katechezy klasy trzeciej szkoły podstawowej,"Mamińska, Elżbieta","""Palabra""",Warszawa,1994,[141] s.,21 cm.,,,,,
22,,księża kapelani narodowych sił zbrojnych lubelszczyźnie latach 1939-1944,"Meresta, Ludwik (1922-1998)",Wydaw. ZŻNSZ. O,Lublin,1994,34 s.,21 cm.,Duchowieństwo katolickie,,,,Bibliogr. s. 34. - Indeks.
23,8385482318,zeszyt ćwiczeń iv : katechezy klasy czwartej szkoły podstawowej,"Obuchowski, Andrzej","""Palabra""",Warszawa,1994,[97] s.,21 cm.,,,,,
24,838554173X,30 minut boga,"Sève, André","Wydaw. Księży Marianów : ""M""",Kraków,cop. 1993,155 s.,18 cm.,Bóg,,,,
25,8386291079,ewangeliczne rozliczenie : rekolekcje,"Staniek, Edward (1941- )","""Barbara""",Kraków,1994,"59, [2] s.",18 cm.,Rekolekcje,,,,
26,,velika borotba : v časi christìjanskich vìkìv,"White, Ellen Gould (1827-1915)","""Poselstwo Wyzwolenia""",Cieszyn,[1990],"S. XVI, 17-704",20 cm.,Chrześcijaństwo,,,,"Oryg. przedr. fotooffs., Brookfield : Pacific Press Publ. Association."
27,8385631011,fundamentalne rzeczywistości liturgii,"Znak, Armin Jacek","""Signum""",Oleśnica,1992,"279, [1] s.",21 cm.,Liturgia katolicka,,,,Bibliogr. s. 269-271.
28,8385631089,historia liturgii,"Znak, Armin Jacek","""Signum""",Oleśnica,1993,160 s.,21 cm.,Liturgia katolicka,,,,Bibliogr. s. 154-157. Brak wyd. 1
29,8390056070,kwestie społeczne krytyczne sytuacje życiowe progu dziewięćdziesiątych : wybrane zagadnienia : praca zbiorowa,,UW. IPS : Ośrodek Badań Społecznych,Warszawa,1994,350 s.,21 cm.,Bezrobocie,,,,
30,8322910436,polskie mity polityczne xix xx wieku,,Wydaw. Uniwersytetu Wrocławskiego,Wrocław,1994,"260, [1] s., [24] s. il.",24 cm.,Etnopsychologia,,,,Indeks. - Summ.
31,8301113839,polsko-angielsko-francusko-niemiecki glosariusz terminologii stosunków międzynarodowych prawa międzynarodowego,"Pieńkos, Jerzy (1932-2003)",Wydaw. Naukowe PWN,Warszawa,1994,403 s.,24 cm.,Polityka międzynarodowa,,,,Bibliogr. s. 236. - Indeksy.
32,8390262002,bialska spółdzielnia mieszkaniowa zgoda : 1958-1993,"Bialska Spółdzielnia Mieszkaniowa ""Zgoda"" (Biała Podlaska)","P.W. [Przedsiębiorstwo Wielobranżowe] ""Adex"" : na zlec. BSM ""Zgoda""",Lublin ; Biała Podlaska,1994,"[4], 120, [6] s., [4] s. tabl. kolor.",21 cm.,Spółdzielczość mieszkaniowa,,,,Bibliogr. s. 119-120.
33,8301110880,elementarne zagadnienia ekonomii,,Wydaw. Naukowe PWN,Warszawa,1995,"373, [1] s.",24 cm.,Ekonomia,,,,
