,First entry (Title + ISBN),Second entry (Title + ISBN),similairity_score
2011,"obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -","obiektyw fotograficzny schneider kreuznach xenar f: 2,8, należący janiny mierzeckiej ; -",0.9790244538818706
2019,"obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -","obiektyw fotograficzny flektogon 450 asb, należący janiny mierzeckiej ; -",0.9790244538818706
2017,"obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -","obiektyw fotograficzny jantar color 1:5,680, należący janiny mierzeckiej ; -",0.9790244538818706
2016,"obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -","obiektyw fotograficzny schneider kreuznach angulon f 6,8, należący janiny mierzeckiej ; -",0.9790244538818706
2015,"obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -","obiektyw fotograficzny zeiss tessar 4,550, należący janiny mierzeckiej ; -",0.9790244538818706
2014,"obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -","obiektyw fotograficzny voigtländer collinear-linse 416 mm, należący janiny mierzeckiej ; -",0.9790244538818706
2013,"obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -","obiektyw fotograficzny schneider kreuznach xenar f: 4,5, należący janiny mierzeckiej ; -",0.9790244538818706
2012,"obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -","obiektyw fotograficzny zeiss rolleiflex magnar 4x, należący janiny mierzeckiej ; -",0.9790244538818706
2009,"obiektyw fotograficzny schneider kreuznach xenar f: 2,8, należący janiny mierzeckiej ; -","obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -",0.9790244538818706
1999,"obiektyw fotograficzny zeiss rolleiflex magnar 4x, należący janiny mierzeckiej ; -","obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -",0.9790244538818706
1989,"obiektyw fotograficzny schneider kreuznach xenar f: 4,5, należący janiny mierzeckiej ; -","obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -",0.9790244538818706
1979,"obiektyw fotograficzny voigtländer collinear-linse 416 mm, należący janiny mierzeckiej ; -","obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -",0.9790244538818706
1969,"obiektyw fotograficzny zeiss tessar 4,550, należący janiny mierzeckiej ; -","obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -",0.9790244538818706
1959,"obiektyw fotograficzny schneider kreuznach angulon f 6,8, należący janiny mierzeckiej ; -","obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -",0.9790244538818706
1949,"obiektyw fotograficzny jantar color 1:5,680, należący janiny mierzeckiej ; -","obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -",0.9790244538818706
1939,"obiektyw fotograficzny primotar 3,5180, należący janiny mierzeckiej ; -","obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -",0.9790244538818706
1929,"obiektyw fotograficzny flektogon 450 asb, należący janiny mierzeckiej ; -","obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -",0.9790244538818706
2018,"obiektyw fotograficzny hugo meyer aristostigmat : 6,8, należący janiny mierzeckiej ; -","obiektyw fotograficzny primotar 3,5180, należący janiny mierzeckiej ; -",0.9790244538818706
2998,"inicjał z, ilustracja książki na rwd-5 atlantyk stanisława skarżyńskiego ; -","lot, ilustracja książki na rwd-5 atlantyk stanisława skarżyńskiego ; -",0.9726134338757729
2654,"inicjał ś, ilustracja księgi pamiątkowej czci poległych lotników ; -","mogiła lotnika, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2675,"inicjał m, ilustracja księgi pamiątkowej czci poległych lotników ; -","spalone domy, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2585,"samolot rwd-6, ilustracja księgi pamiątkowej czci poległych lotników ; -","inicjał ś, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2584,"samolot rwd-6, ilustracja księgi pamiątkowej czci poległych lotników ; -","inicjał h, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2583,"samolot rwd-6, ilustracja księgi pamiątkowej czci poległych lotników ; -","inicjał j, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2655,"inicjał ś, ilustracja księgi pamiątkowej czci poległych lotników ; -","spalone domy, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2656,"inicjał ś, ilustracja księgi pamiątkowej czci poległych lotników ; -","samolot zatoką, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2664,"inicjał u, ilustracja księgi pamiątkowej czci poległych lotników ; -","mogiła lotnika, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2665,"inicjał u, ilustracja księgi pamiątkowej czci poległych lotników ; -","spalone domy, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2666,"inicjał u, ilustracja księgi pamiątkowej czci poległych lotników ; -","samolot zatoką, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2674,"inicjał m, ilustracja księgi pamiątkowej czci poległych lotników ; -","mogiła lotnika, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2676,"inicjał m, ilustracja księgi pamiątkowej czci poległych lotników ; -","samolot zatoką, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2593,"montgolfier, ilustracja księgi pamiątkowej czci poległych lotników ; -","inicjał j, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2684,"inicjał h, ilustracja księgi pamiątkowej czci poległych lotników ; -","mogiła lotnika, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
2685,"inicjał h, ilustracja księgi pamiątkowej czci poległych lotników ; -","spalone domy, ilustracja księgi pamiątkowej czci poległych lotników ; -",0.9652163061566258
