,First entry (Title + ISBN),Second entry (Title + ISBN),similairity_score
223,przewodnik dydaktyczny nauczania historii klasie vii szkoły podstawowej ; -,bóg : katechezy klasy trzeciej szkoły podstawowej ; -,0.9612375709931513
96,zeszyt ćwiczeń iv : katechezy klasy czwartej szkoły podstawowej ; 8385482318,klucz ćwiczeń oznaczaniu mięczaków szkoły podstawowej test laboratoryjny ; 8385482318,0.9612375709931513
222,przewodnik dydaktyczny nauczania historii klasie vii szkoły podstawowej ; -,zeszyt ćwiczeń iv : katechezy klasy czwartej szkoły podstawowej ; -,0.9612375709931513
253,klucz ćwiczeń oznaczaniu mięczaków szkoły podstawowej test laboratoryjny ; 8386335025,zeszyt ćwiczeń iv : katechezy klasy czwartej szkoły podstawowej ; 8386335025,0.9612375709931513
254,klucz ćwiczeń oznaczaniu mięczaków szkoły podstawowej test laboratoryjny ; 8386335025,bóg : katechezy klasy trzeciej szkoły podstawowej ; 8386335025,0.9612375709931513
255,klucz ćwiczeń oznaczaniu mięczaków szkoły podstawowej test laboratoryjny ; 8386335025,bóg : katechezy klasy pierwszej szkoły podstawowej ; 8386335025,0.9612375709931513
256,klucz ćwiczeń oznaczaniu mięczaków szkoły podstawowej test laboratoryjny ; 8386335025,bóg : katechezy klasy drugiej szkoły podstawowej ; 8386335025,0.9612375709931513
224,przewodnik dydaktyczny nauczania historii klasie vii szkoły podstawowej ; -,bóg : katechezy klasy pierwszej szkoły podstawowej ; -,0.9612375709931513
97,zeszyt ćwiczeń iv : katechezy klasy czwartej szkoły podstawowej ; 8385482318,przewodnik dydaktyczny nauczania historii klasie vii szkoły podstawowej ; 8385482318,0.9612375709931513
91,bóg : katechezy klasy trzeciej szkoły podstawowej ; 8385482377,przewodnik dydaktyczny nauczania historii klasie vii szkoły podstawowej ; 8385482377,0.9612375709931513
90,bóg : katechezy klasy trzeciej szkoły podstawowej ; 8385482377,klucz ćwiczeń oznaczaniu mięczaków szkoły podstawowej test laboratoryjny ; 8385482377,0.9612375709931513
85,bóg : katechezy klasy pierwszej szkoły podstawowej ; 8385482350,przewodnik dydaktyczny nauczania historii klasie vii szkoły podstawowej ; 8385482350,0.9612375709931513
84,bóg : katechezy klasy pierwszej szkoły podstawowej ; 8385482350,klucz ćwiczeń oznaczaniu mięczaków szkoły podstawowej test laboratoryjny ; 8385482350,0.9612375709931513
79,bóg : katechezy klasy drugiej szkoły podstawowej ; 8385482369,przewodnik dydaktyczny nauczania historii klasie vii szkoły podstawowej ; 8385482369,0.9612375709931513
78,bóg : katechezy klasy drugiej szkoły podstawowej ; 8385482369,klucz ćwiczeń oznaczaniu mięczaków szkoły podstawowej test laboratoryjny ; 8385482369,0.9612375709931513
225,przewodnik dydaktyczny nauczania historii klasie vii szkoły podstawowej ; -,bóg : katechezy klasy drugiej szkoły podstawowej ; -,0.9612375709931513
302,zagadnień opieki dzieckiem : materiały doświadczeń ośrodka wczesnej pomocy psychologicznej krakowie : praca zbiorowa ; -,badanie jakości zdrowotnej żywności : materiały ćwiczeń bromatologii ; -,0.9510057744607339
238,edukacja techniczna młodzieży szkół ogólnokształcących zawodowych = i-st international conference the technology education in general and vocation schools : materiały międzynarodowej konferencji naukowej zaciszu koło bydgoszczy dniach 19-20.10.1993 ; 8370960731,zagadnień opieki dzieckiem : materiały doświadczeń ośrodka wczesnej pomocy psychologicznej krakowie : praca zbiorowa ; 8370960731,0.9510057744607339
303,zagadnień opieki dzieckiem : materiały doświadczeń ośrodka wczesnej pomocy psychologicznej krakowie : praca zbiorowa ; -,edukacja techniczna młodzieży szkół ogólnokształcących zawodowych = i-st international conference the technology education in general and vocation schools : materiały międzynarodowej konferencji naukowej zaciszu koło bydgoszczy dniach 19-20.10.1993 ; -,0.9510057744607339
346,badanie jakości zdrowotnej żywności : materiały ćwiczeń bromatologii ; 8385019790,zagadnień opieki dzieckiem : materiały doświadczeń ośrodka wczesnej pomocy psychologicznej krakowie : praca zbiorowa ; 8385019790,0.9510057744607339
197,uczę jeździć : prawo ruchu drogowym pytaniach odpowiedziach ; 8390140179,"spółdzielcze prawo mieszkaniowe : nowe : przepisy, orzecznictwo ; 8390140179",0.9496099073721438
192,"spółdzielcze prawo mieszkaniowe : nowe : przepisy, orzecznictwo ; 8386124083",prawo geologiczne górnicze : akty wykonawcze rady ministrów prezesa rady ministrów ; 8386124083,0.9496099073721438
191,"spółdzielcze prawo mieszkaniowe : nowe : przepisy, orzecznictwo ; 8386124083",uczę jeździć : prawo ruchu drogowym pytaniach odpowiedziach ; 8386124083,0.9496099073721438
187,prawo geologiczne górnicze : akty wykonawcze rady ministrów prezesa rady ministrów ; 839026093X,"spółdzielcze prawo mieszkaniowe : nowe : przepisy, orzecznictwo ; 839026093X",0.9496099073721438
181,"prawo geologiczne górnicze : akty wykonawcze ministra ochrony środowiska, zasobów naturalnych leśnictwa ; 8390260948","spółdzielcze prawo mieszkaniowe : nowe : przepisy, orzecznictwo ; 8390260948",0.9496099073721438
193,"spółdzielcze prawo mieszkaniowe : nowe : przepisy, orzecznictwo ; 8386124083","prawo geologiczne górnicze : akty wykonawcze ministra ochrony środowiska, zasobów naturalnych leśnictwa ; 8386124083",0.9496099073721438
401,materiały doświadczeń ośrodka wczesnej pomocy psychologicznej krakowie ; -,badanie jakości zdrowotnej żywności : materiały ćwiczeń bromatologii ; -,0.9061529554774362
348,badanie jakości zdrowotnej żywności : materiały ćwiczeń bromatologii ; 8385019790,"materiały vi vii tygodnia kultury chrześcijańskiej krakowie - 1985, 1986 ; 8385019790",0.9061529554774362
347,badanie jakości zdrowotnej żywności : materiały ćwiczeń bromatologii ; 8385019790,materiały doświadczeń ośrodka wczesnej pomocy psychologicznej krakowie ; 8385019790,0.9061529554774362
42,"materiały vi vii tygodnia kultury chrześcijańskiej krakowie - 1985, 1986 ; -",badanie jakości zdrowotnej żywności : materiały ćwiczeń bromatologii ; -,0.9061529554774362
240,edukacja techniczna młodzieży szkół ogólnokształcących zawodowych = i-st international conference the technology education in general and vocation schools : materiały międzynarodowej konferencji naukowej zaciszu koło bydgoszczy dniach 19-20.10.1993 ; 8370960731,"materiały vi vii tygodnia kultury chrześcijańskiej krakowie - 1985, 1986 ; 8370960731",0.9061529554774362
239,edukacja techniczna młodzieży szkół ogólnokształcących zawodowych = i-st international conference the technology education in general and vocation schools : materiały międzynarodowej konferencji naukowej zaciszu koło bydgoszczy dniach 19-20.10.1993 ; 8370960731,materiały doświadczeń ośrodka wczesnej pomocy psychologicznej krakowie ; 8370960731,0.9061529554774362
43,"materiały vi vii tygodnia kultury chrześcijańskiej krakowie - 1985, 1986 ; -",edukacja techniczna młodzieży szkół ogólnokształcących zawodowych = i-st international conference the technology education in general and vocation schools : materiały międzynarodowej konferencji naukowej zaciszu koło bydgoszczy dniach 19-20.10.1993 ; -,0.9061529554774362
402,materiały doświadczeń ośrodka wczesnej pomocy psychologicznej krakowie ; -,edukacja techniczna młodzieży szkół ogólnokształcących zawodowych = i-st international conference the technology education in general and vocation schools : materiały międzynarodowej konferencji naukowej zaciszu koło bydgoszczy dniach 19-20.10.1993 ; -,0.9061529554774362
